Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Estimate,US East (Ohio),NAT,0,32.85,394.2,USD,1 NAT
,,ALB,0,92.1,1098,USD,2 ALB
,,EC2,0,1874.12,22518.1,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r6g.2xlarge)"
,,RDS MySQL,0,6898.2,82123.11,USD,"Storage each RDS instance General Purpose SSD (gp2), storage 5TB, quantity 2, instance type db.m5.4xlarge, utilization On-Demand only & 100 %Utilized/month, deployment multi-AZ, pricing strategy onDemand, backup storage 5TB"
,,S3 Standard,3.2679,236.12,2839.88,USD,"S3 Standard 10TB per month, S3 standard average object size 16mb"
,,,,,,,
,,,,,,,
,,,,,,,
Acknowledgement,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
